kind,name,value
x_variation,o_34,0.0
x_variation,o_33,0.0
x_variation,o_38,0.0
x_variation,o_15_6,0.0
x_variation,o_7_2,0.0
x_variation,o_15_4,0.0
x_variation,o_15_3,0.0
x_variation,o_7_4,0.0
x_variation,o_7_5,0.0
x_variation,o_7_6,0.0
x_variation,o_15_8,0.0
x_variation,o_15_7,0.0
x_variation,g_11_2_1,0.0
x_variation,g_11_2_2,0.0
x_variation,g_11_2_3,0.0
x_variation,o_32,0.0
x_variation,o_30,0.0
x_variation,g_11_2_8,0.0
x_variation,o_25,0.0
x_variation,g_11_2_9,0.0
x_variation,o_24,0.0
x_variation,g_11_2_4,0.0
x_variation,o_29,0.0
x_variation,g_11_2_5,0.0
x_variation,o_28,0.0
x_variation,g_11_2_6,0.0
x_variation,o_27,0.0
x_variation,g_11_2_7,0.0
x_variation,o_7_8,0.0
x_variation,o_7_9,0.0
x_variation,g_27_4_27,0.0
x_variation,g_27_4_28,0.0
x_variation,g_27_4_25,0.0
x_variation,g_27_4_26,0.0
x_variation,g_27_4_23,0.0
x_variation,g_27_4_24,0.0
x_variation,g_27_4_21,0.0
x_variation,g_27_4_22,0.0
x_variation,g_27_4_20,0.0
x_variation,o_27_4,0.0
x_variation,o_20,0.0
x_variation,m_20_1,0.0
x_variation,R,0.0
x_variation,o_8_2,0.0
x_variation,m_20_5,0.0
x_variation,o_8_4,0.0
x_variation,m_20_6,0.0
x_variation,o_8_6,0.0
x_variation,m_20_4,0.0
x_variation,o_50,0.0
x_variation,o_14_1,0.0
x_variation,o_1,0.0
x_variation,o_2,0.0
x_variation,o_44,0.0
x_variation,o_7,0.0
x_variation,o_49,0.0
x_variation,o_48,0.0
x_variation,o_8_7,0.0
x_variation,o_8,0.0
x_variation,o_26_7,0.0
x_variation,o_26_8,0.0
x_variation,o_26_3,0.0
x_variation,o_26_4,0.0
x_variation,o_26_6,0.0
x_variation,o_26_1,0.0
x_variation,o_43,0.0
x_variation,o_42,0.0
x_variation,o_40,0.0
x_variation,o_17_9,0.0
x_variation,o_17_4,0.0
x_variation,o_17_2,0.0
x_variation,o_17_1,0.0
x_variation,o_17_8,0.0
x_variation,o_5_1,0.0
x_variation,m_9_8,0.0
x_variation,m_9_9,0.0
x_variation,o_6_1,0.0
x_variation,o_6_2,0.0
x_variation,o_6_3,0.0
x_variation,o_16_2,0.0
x_variation,o_6_5,0.0
x_variation,o_16_8,0.0
x_variation,o_16_7,0.0
x_variation,o_16_1,0.0
x_variation,m_5,0.0
x_variation,m_4,0.0
x_variation,m_6,0.0
x_variation,m_9,0.0
x_variation,g_17_8_9,0.0
x_variation,g_17_8_8,0.0
x_variation,g_17_8_1,0.0
x_variation,m_9_6,0.0
x_variation,g_17_8_3,0.0
x_variation,g_17_8_2,0.0
x_variation,g_17_8_5,0.0
x_variation,g_17_8_4,0.0
x_variation,m_9_2,0.0
x_variation,g_17_8_7,0.0
x_variation,m_9_3,0.0
x_variation,g_17_8_6,0.0
x_variation,m_8_9,0.0
x_variation,g_17_8_23,0.0
x_variation,o_11_9,0.0
x_variation,g_17_8_22,0.0
x_variation,g_17_8_25,0.0
x_variation,o_11_7,0.0
x_variation,g_17_8_24,0.0
x_variation,m_23_2,0.0
x_variation,m_23_3,0.0
x_variation,m_23_1,0.0
x_variation,m_23_6,0.0
x_variation,m_23_7,0.0
x_variation,m_23_4,0.0
x_variation,m_23_5,0.0
x_variation,g_17_8_21,0.0
x_variation,m_23_8,0.0
x_variation,o_11_3,0.0
x_variation,g_17_8_20,0.0
x_variation,g_11_2_16,0.0
x_variation,g_11_2_15,0.0
x_variation,g_11_2_18,0.0
x_variation,g_11_2_17,0.0
x_variation,g_11_2_19,0.0
x_variation,g_11_2_10,0.0
x_variation,g_11_2_12,0.0
x_variation,g_11_2_11,0.0
x_variation,g_11_2_14,0.0
x_variation,g_11_2_13,0.0
x_variation,m_8_5,0.0
x_variation,g_12_4_4,0.0
x_variation,g_12_4_3,0.0
x_variation,g_12_4_2,0.0
x_variation,m_8_8,0.0
x_variation,g_12_4_1,0.0
x_variation,m_8_1,0.0
x_variation,m_11_2,0.0
x_variation,g_12_4_8,0.0
x_variation,m_11_1,0.0
x_variation,g_12_4_7,0.0
x_variation,m_8_3,0.0
x_variation,m_11_4,0.0
x_variation,g_12_4_6,0.0
x_variation,g_12_4_5,0.0
x_variation,o_23_9,0.0
x_variation,m_11_6,0.0
x_variation,m_11_5,0.0
x_variation,m_11_8,0.0
x_variation,g_12_4_9,0.0
x_variation,g_11_2_27,0.0
x_variation,g_11_2_26,0.0
x_variation,g_27_4_9,0.0
x_variation,g_11_2_28,0.0
x_variation,g_27_4_7,0.0
x_variation,g_27_4_8,0.0
x_variation,g_27_4_5,0.0
x_variation,g_27_4_6,0.0
x_variation,g_27_4_3,0.0
x_variation,g_27_4_4,0.0
x_variation,g_11_2_21,0.0
x_variation,g_27_4_1,0.0
x_variation,g_11_2_20,0.0
x_variation,g_27_4_2,0.0
x_variation,g_11_2_23,0.0
x_variation,g_11_2_22,0.0
x_variation,g_11_2_25,0.0
x_variation,g_11_2_24,0.0
x_variation,o_4_4,0.0
x_variation,o_4_5,0.0
x_variation,o_4_6,0.0
x_variation,o_10_8,0.0
x_variation,m_24_1,0.0
x_variation,o_4_8,0.0
x_variation,m_24_2,0.0
x_variation,o_4_9,0.0
x_variation,m_24_5,0.0
x_variation,o_10_2,0.0
x_variation,m_24_6,0.0
x_variation,m_24_4,0.0
x_variation,o_10_7,0.0
x_variation,m_24_9,0.0
x_variation,o_10_5,0.0
x_variation,o_4_1,0.0
x_variation,o_10_4,0.0
x_variation,o_4_2,0.0
x_variation,g_17_8_19,0.0
x_variation,g_17_8_12,0.0
x_variation,m_7_7,0.0
x_variation,g_17_8_11,0.0
x_variation,g_17_8_14,0.0
x_variation,g_17_8_13,0.0
x_variation,m_12_2,0.0
x_variation,g_17_8_16,0.0
x_variation,m_7_3,0.0
x_variation,m_12_3,0.0
x_variation,g_17_8_15,0.0
x_variation,g_17_8_18,0.0
x_variation,g_17_8_17,0.0
x_variation,m_12_6,0.0
x_variation,o_22_3,0.0
x_variation,o_22_5,0.0
x_variation,m_7_1,0.0
x_variation,m_12_5,0.0
x_variation,m_12_8,0.0
x_variation,g_17_8_10,0.0
x_variation,m_12_9,0.0
x_variation,o_1_6,0.0
x_variation,o_13_8,0.0
x_variation,g_20_2_1,0.0
x_variation,o_13_7,0.0
x_variation,m_21_1,0.0
x_variation,g_20_2_5,0.0
x_variation,g_20_2_4,0.0
x_variation,g_20_2_3,0.0
x_variation,o_13_9,0.0
x_variation,g_20_2_2,0.0
x_variation,o_1_2,0.0
x_variation,o_13_4,0.0
x_variation,o_1_3,0.0
x_variation,o_1_4,0.0
x_variation,o_13_1,0.0
x_variation,g_2_2_4,0.0
x_variation,g_2_2_5,0.0
x_variation,g_2_2_2,0.0
x_variation,g_2_2_3,0.0
x_variation,g_2_2_8,0.0
x_variation,g_2_2_9,0.0
x_variation,g_2_2_6,0.0
x_variation,g_2_2_7,0.0
x_variation,o_25_4,0.0
x_variation,m_6_4,0.0
x_variation,o_25_5,0.0
x_variation,o_25_6,0.0
x_variation,o_25_1,0.0
x_variation,o_25_2,0.0
x_variation,g_2_7_20,0.0
x_variation,g_2_7_21,0.0
x_variation,g_2_7_22,0.0
x_variation,o_2_6,0.0
x_variation,o_2_7,0.0
x_variation,o_12_7,0.0
x_variation,o_2_8,0.0
x_variation,o_2_9,0.0
x_variation,m_22_4,0.0
x_variation,m_22_1,0.0
x_variation,m_22_2,0.0
x_variation,o_12_1,0.0
x_variation,m_22_6,0.0
x_variation,o_12_4,0.0
x_variation,o_2_2,0.0
x_variation,o_2_4,0.0
x_variation,g_20_2_9,0.0
x_variation,g_20_2_8,0.0
x_variation,g_20_2_7,0.0
x_variation,g_20_2_6,0.0
