kind,name,value
x_variation,g_9_5,0.0
x_variation,g_9_4,0.0
x_variation,o_35,0.0
x_variation,g_9_3,0.0
x_variation,o_34,0.0
x_variation,g_9_2,0.0
x_variation,o_33,0.0
x_variation,g_9_1,0.0
x_variation,o_39,0.0
x_variation,o_37,0.0
x_variation,g_9_8,0.0
x_variation,g_9_7,0.0
x_variation,g_9_6,0.0
x_variation,o_15_5,0.0
x_variation,o_15_4,0.0
x_variation,o_15_3,0.0
x_variation,o_15_9,0.0
x_variation,o_32,0.0
x_variation,o_15_1,0.0
x_variation,o_30,0.0
x_variation,o_23,0.0
x_variation,o_28,0.0
x_variation,o_27,0.0
x_variation,o_26,0.0
x_variation,o_21,0.0
x_variation,m_9_5_1,0.0
x_variation,o_20,0.0
x_variation,o_14_6,0.0
x_variation,R,0.0
x_variation,o_14_5,0.0
x_variation,o_8_2,0.0
x_variation,o_14_8,0.0
x_variation,o_50,0.0
x_variation,o_14_3,0.0
x_variation,o_14_2,0.0
x_variation,o_1,0.0
x_variation,o_47,0.0
x_variation,o_4,0.0
x_variation,o_6,0.0
x_variation,o_48,0.0
x_variation,o_9_7_1,0.0
x_variation,o_17_9,0.0
x_variation,g_12_2_2,0.0
x_variation,g_12_2_1,0.0
x_variation,o_5_2,0.0
x_variation,o_17_3,0.0
x_variation,o_5_4,0.0
x_variation,o_17_1,0.0
x_variation,o_5_7,0.0
x_variation,o_17_7,0.0
x_variation,o_5_8,0.0
x_variation,o_17_6,0.0
x_variation,o_5_9,0.0
x_variation,o_17_5,0.0
x_variation,o_5_1,0.0
x_variation,g_40_29,0.0
x_variation,g_40_27,0.0
x_variation,g_17_2_17,0.0
x_variation,g_40_28,0.0
x_variation,g_6_5_2,0.0
x_variation,g_17_2_16,0.0
x_variation,g_6_5_1,0.0
x_variation,g_17_2_15,0.0
x_variation,g_17_2_14,0.0
x_variation,g_17_2_13,0.0
x_variation,g_6_5_6,0.0
x_variation,g_6_5_5,0.0
x_variation,g_6_5_4,0.0
x_variation,g_6_5_3,0.0
x_variation,g_6_5_9,0.0
x_variation,o_9_6_1,0.0
x_variation,g_6_5_8,0.0
